# Group							City	Models

WORKERS,						LS,		HMOGAR, WMYCON, WMYCONB, WMYMECH, WMYSGRD
WORKERS,						SF,		WMYCON, WMYCONB, WMYSGRD, SWMOCD, HMOGAR
WORKERS,						LV,		WMYCON, WMYCONB, HMOGAR, WMYSGRD, VBMOCD
BUSINESS,						LS,		BMYRI, BMYBU, BFYBU, BFYRI, BMYRI, BFYRI, HFYRI, HMYRI, HFYRI, HMYRI, OMYRI, OMYRI, SOFYBU, WFYRI,WMYRI, WMYBU, WFYBU
BUSINESS,						SF,		SBMYRI, SOMOBU, SOMYBU, BMYBU, BFYBU, SBFYRI, SBMYRI, HFYRI, HMYRI, HFYRI, HMYRI, SOMYRI, SOMYRI, SOFYBU, SWFYRI, SWMYRI, WMYBU, WFYBU
BUSINESS,						LV,		BMYRI, BMYBU, BFYBU, BFYRI, BMYRI, BFYRI, HFYRI, HMYRI, HFYRI, HMYRI, OMYRI, OMYRI, WFYRI,WMYRI, WMYBU, WFYBU
CLUBBERS,						LS,		BFYRI, BMYRI, BMYST, OMOST, OMYST, OFYST, WMYST, WFYST, HFYRI, HMYRI, OMYRI, WFYRI, WMYRI, WMYBOUN
CLUBBERS,						SF,		SWMYHP1, SWMYHP2, SBMYST, SOMOST, OMYST, SOFYST, SWMYST, SWFYST, SBFYRI, SBMYRI, HFYRI, HMYRI, SOMYRI, SWFYRI, SWMYRI, WMYBOUN
CLUBBERS,						LV,		BMYST, OMOST, OMYST, OFYST, WMYST, WFYST, BFYRI, BMYRI, HFYRI, HMYRI, OMYRI, WFYRI, WMYRI, WMYBOUN
FARMERS,								CWFOFR, CWFOHB, CWFYFR1, CWFYFR2, CWFYHB, CWMOFR, CWMOHB1, CWMOHB2, CWMYFR, CWMYHB1, CWMYHB2
BEACHFOLK,								BFYBE, BMYBE, HFYBE, HMYBE, WFYBE, WMYBE, WFYRO, WMYRO, WFYLG
PARKFOLK,						LS,		WMYJG, WFYJG, WMYBP, BMYMOUN, WMYMOUN, BFYBE, HFYBE
PARKFOLK,						SF,		SWMYHP1, SWMYHP2, WMYJG, WFYJG, WMYBP, BMYMOUN, WMYMOUN
PARKFOLK,						LV,		WMYJG, WFYJG, WMYBP, BMYMOUN, WMYMOUN, WFYBE, BFYBE
