#
# filename:		shopping.dat
# description:	File which has every object's price in it. The file is
#				broken into sections by type of object eg car mod, furniture
# Author: B1ack_Wh1te

section prices

	section CarMods

# TransFender
	# Bonnet
		#name,			nametag,	price
		bnt_b_sc_l		BMBLBS		150
		bnt_b_sc_m		BMBMBS		100
		bnt_b_sc_p_l	BMBLCS		250
		bnt_b_sc_p_m	BMBMCS		220
	# Hood vents
		bntl_b_ov		BMBOBV		150
		bntl_b_sq		BMBSBV		100
	# Exhaust
		exh_b_l			BMBLE		250
		exh_b_m			BMBME		200
		exh_b_s			BMBSE		150
		exh_b_t			BMBTE		300
		exh_b_ts		BMBUE		350
	# Lights
		lgt_b_rspt		BMBRSL		100
		lgt_b_sspt		BMBSSL		50
	# Roof
		rf_b_sc_r  		BMBRS		80
	# Spoiler
		spl_b_bab_m		BMMABBS		550
		spl_b_bar_l		BMLARBS		400
		spl_b_bar_m		BMMARBS		200
		spl_b_bbb_m		BMMBS		350
		spl_b_bbr_l		BMLRS		500
		spl_b_bbr_m		BMMRS		200
		spl_b_mab_m		BMMABS		250
		spl_b_mar_m		BMMARS		400
	# Wings
		wg_l_b_ssk		BMWNG1		500
		wg_r_b_ssk		BMWNG2		500

# Wheel Arch Angels
	# FLASH
		exh_a_f			FLSAE		710
		exh_c_f			FLSCE		510
		fbmp_a_f		FLSAFF		1200
		fbmp_c_f		FLSCFF		910
		rbmp_a_f		FLSARF		1090
		rbmp_c_f		FLSCRF		840
	   	rf_a_f			FLSARV		210
		rf_c_f			FLSCRV		130
		spl_a_f_r		FLSAS		810
		spl_c_f_r		FLSCS		620
		wg_l_a_f		FLSASI		670
		wg_l_c_f		FLSCSI		530

	# JESTER
		exh_a_j			JSTAE		850
		exh_c_j			JSTCE		750
		fbmp_a_j		JSTAFF		1050
		fbmp_c_j		JSTCFF		950
		rbmp_a_j		JSTARF		1050
		rbmp_c_j		JSTCRF		950
	   	rf_a_j			JSTARV		250
		rf_c_j  		JSTCRV		200
		spl_a_j_b	 	JSTAS		650
		spl_c_j_b	 	JSTCS		550
		wg_l_a_j	 	JSTASI		550
		wg_l_c_j		JSTCSI		450

	# ELEGY
		exh_a_l			LGDAE		790
		exh_c_l			LGDCE		690
		fbmp_a_l		LGDAFF		990
		fbmp_c_l		LGDCFF		900
		rbmp_a_l		LGDARF		1000
		rbmp_c_l		LGDCRF   	890
		rf_a_l			LGDARV		190
		rf_c_l			LGDCRV		150
		spl_a_l_b  		LGDAS		600
		spl_c_l_b  		LGDCS		490
		wg_l_a_l  		LGDASI		500
		wg_l_c_l		LGDCSI		390

	# STRATUM
