#######################################
# statdisp.dat                        #
# selects when to show messages based #
# on stat values in the game          #
#######################################

# note - numbers on left hand (stat_num) must align up with numbers in STAT_VAR_CONSOLE_REF.TXT in "sa_docs" dir in AB

# stat_num  - unique stat id
# stat_name - name of stat (for reference)
# condition - this can be lessthan/morethan
# value     - value stat must reach to display message
# text_id   - text id from american.gxt text file to display

# stat text names - S - stat 
#						W - Weapon (PI - pistol, ) (ST - Standard, PR - Pro)
#						ST - Stamina (0 to 9 -level)
#						SK	- Skill	(0 to 9 -level) 
#						BO -  BODY 
###################################################################################

#stat_num	stat_name						condition	value	text_id
#========	=========      	 				=========   =====   =======

21		FAT									morethan	250		SBOFAT0			
21		FAT									morethan	400		SBOFAT1
21		FAT									morethan	600		SBOFAT2
21		FAT									morethan	800		SBOFAT3
21		FAT									morethan	950		SBOFAT4

22		STAMINA	 		  					morethan	20		SSTSPT0
22		STAMINA	 		  					morethan	100		SSTSPT0
22		STAMINA	 		  					morethan	200		SSTSPT0
22		STAMINA	 		  					morethan	300		SSTSPT0
22		STAMINA	 							morethan	400		SSTSPT0
22		STAMINA	 							morethan	500		SSTSPT0
22		STAMINA	 							morethan	600		SSTSPT0
22		STAMINA	 							morethan	700		SSTSPT0
22		STAMINA	 							morethan	800		SSTSPT0
22		STAMINA	 							morethan	900		SSTSPT0
22		STAMINA	 							morethan	999		SSTSPT1

23		BODY_MUSCLE							morethan	100		SBOMUS0
23		BODY_MUSCLE							morethan	200		SBOMUS1
23		BODY_MUSCLE							morethan	350		SBOMUS6
23		BODY_MUSCLE							morethan	400		SBOMUS2
23		BODY_MUSCLE							morethan	600		SBOMUS3
23		BODY_MUSCLE							morethan	800		SBOMUS4						
23		BODY_MUSCLE							morethan	999		SBOMUS5						

223		FLYING_SKILL						morethan	20		SSTFLY0	
223		FLYING_SKILL						morethan	180		SSTFLY1

225		UNDERWATER_STAMINA					morethan	50		SSTUND0
225		UNDERWATER_STAMINA					morethan	250		SSTUND1
225		UNDERWATER_STAMINA					morethan	500		SSTUND2
225		UNDERWATER_STAMINA					morethan	750		SSTUND3
225		UNDERWATER_STAMINA					morethan	999		SSTUND4

229		BIKE_SKILL							morethan	20		SSKBIK0
229		BIKE_SKILL							morethan	200		SSKBIK1
229		BIKE_SKILL							morethan	400		SSKBIK2
229		BIKE_SKILL							morethan	800		SSKBIK3
229		BIKE_SKILL							morethan	999		SSKBIK4

230		CYCLE_SKILL							morethan	20		SSKCYC0	
230		CYCLE_SKILL							morethan	200		SSKCYC2	
230		CYCLE_SKILL							morethan	400		SSKCYC1	
230		CYCLE_SKILL							morethan	800		SSKCYC3	
230		CYCLE_SKILL							morethan	999		SSKCYC4	

64		RESPECT_TOTAL						morethan	1		SRES_
64		RESPECT_TOTAL						morethan	10		SRES0
64		RESPECT_TOTAL						morethan	60		SRES1
64		RESPECT_TOTAL						morethan	160		SRES2
64		RESPECT_TOTAL						morethan	330		SRES3
64		RESPECT_TOTAL						morethan	540		SRES4
64		RESPECT_TOTAL						morethan	800		SRES5
64		RESPECT_TOTAL						lessthan	10		SRESN0
64		RESPECT_TOTAL						lessthan	60		SRESN1
64		RESPECT_TOTAL						lessthan	160		SRESN2
64		RESPECT_TOTAL						lessthan	330		SRESN3
64		RESPECT_TOTAL						lessthan	540		SRESN4
64		RESPECT_TOTAL						lessthan	800		SRESN5


WEAPON	PISTOL								morethan	40		SW_ST0
WEAPON	PISTOL								morethan	200		SW_R0
WEAPON	PISTOL								morethan	400		SW_R0
WEAPON	PISTOL								morethan	600		SW_R0
