processed
5990.0 8666.0 0.0 0.00000 0.00000 0.00000 0.00000    5990.0 8724.0 0.0 0.00000 0.00000 0.00000 0.00000    5740.0 8666.0 0.0 0.00000 0.00000 0.00000 0.00000    5740.0 8724.0 0.0 0.00000 0.00000 0.00000 0.00000  1
5960.0 8724.0 0.0 0.00000 0.00000 0.00000 0.00000    5960.0 8758.0 0.0 0.00000 0.00000 0.00000 0.00000    5928.0 8724.0 0.0 0.00000 0.00000 0.00000 0.00000    5928.0 8758.0 0.0 0.00000 0.00000 0.00000 0.00000  1
5990.0 8724.0 0.0 0.00000 0.00000 0.00000 0.00000    5990.0 8818.0 0.0 0.00000 0.00000 0.00000 0.00000    5960.0 8724.0 0.0 0.00000 0.00000 0.00000 0.00000    5960.0 8818.0 0.0 0.00000 0.00000 0.00000 0.00000  1
5990.0 8818.0 0.0 0.00000 0.00000 0.00000 0.00000    5990.0 8864.0 0.0 0.00000 0.00000 0.00000 0.00000    5858.0 8818.0 0.0 0.00000 0.00000 0.00000 0.00000    5858.0 8864.0 0.0 0.00000 0.00000 0.00000 0.00000  1
6140.0 8666.0 0.0 0.00000 0.00000 0.00000 0.00000    6140.0 9268.0 0.0 0.00000 0.00000 0.00000 0.00000    5990.0 8666.0 0.0 0.00000 0.00000 0.00000 0.00000    5990.0 9268.0 0.0 0.00000 0.00000 0.00000 0.00000  1
6172.0 8760.0 0.0 0.00000 0.00000 0.00000 0.00000    6172.0 9268.0 0.0 0.00000 0.00000 0.00000 0.00000    6140.0 8760.0 0.0 0.00000 0.00000 0.00000 0.00000    6140.0 9268.0 0.0 0.00000 0.00000 0.00000 0.00000  1
6134.0 9312.1 0.0 0.00000 0.00000 0.00000 0.00000    6134.0 9359.4 0.0 0.00000 0.00000 0.00000 0.00000    5966.0 9312.1 0.0 0.00000 0.00000 0.00000 0.00000    5966.0 9359.4 0.0 0.00000 0.00000 0.00000 0.00000  1
6158.0 9268.0 0.0 0.00000 0.00000 0.00000 0.00000    6158.0 9312.0 0.0 0.00000 0.00000 0.00000 0.00000    5982.0 9268.0 0.0 0.00000 0.00000 0.00000 0.00000    5982.0 9312.0 0.0 0.00000 0.00000 0.00000 0.00000  1
6110.0 9359.4 0.0 0.00000 0.00000 0.00000 0.00000    6110.0 9406.7 0.0 0.00000 0.00000 0.00000 0.00000    5942.0 9359.4 0.0 0.00000 0.00000 0.00000 0.00000    5942.0 9406.7 0.0 0.00000 0.00000 0.00000 0.00000  1
6082.0 9406.7 0.0 0.00000 0.00000 0.00000 0.00000    6082.0 9454.0 0.0 0.00000 0.00000 0.00000 0.00000    5914.0 9406.7 0.0 0.00000 0.00000 0.00000 0.00000    5914.0 9454.0 0.0 0.00000 0.00000 0.00000 0.00000  1
